"","Date","Inflation","Change"
"1",1257,0.771855046,NA
"2",1258,0.076217672,0
"8",1264,0.015434728,0
"10",1266,0.037500128,0
"13",1269,0.18571459,0
"14",1270,0.103628497,0
"15",1271,0.069854027,0
"16",1272,0.326314755,0
"19",1275,0.052658443,0
"21",1277,0.010371815,0
"22",1278,0.061842929,0
"26",1282,0.118276602,0
"27",1283,0.067242686,0
"28",1284,0.080945079,0
"30",1286,0.096255184,0
"34",1290,0.159451056,0
"35",1291,0.325136543,0
"38",1294,0.182767621,0
"39",1295,0.190728278,0
"42",1298,0.139686674,0
"44",1300,0.177080725,0
"46",1302,0.045020471,0
"48",1304,0.056207314,0
"49",1305,0.031774565,0
"50",1306,0.031046639,0
"52",1308,0.117023873,0
"53",1309,0.133210193,0
"54",1310,0.134489633,0
"58",1314,0.108920534,0
"59",1315,0.178664423,0
"60",1316,0.636313334,0
"65",1321,0.141580623,0
"66",1322,0.165161639,0
"67",1323,0.170340904,0
"73",1329,0.239565078,0
"74",1330,0.008367302,0
"75",1331,0.116777913,0
"80",1336,0.052112279,0
"81",1337,0.099062447,0
"84",1340,0.215186022,0
"88",1344,0.154669007,0
"89",1345,0.01051595,0
"91",1347,0.238686593,0
"92",1348,0.064156924,0
"94",1350,0.051577584,0
"95",1351,0.313809386,0
"96",1352,0.194092053,0
"100",1356,0.05215363,0
"101",1357,0.099137116,0
"102",1358,0.045097608,0
"104",1360,0.071304682,0
"106",1362,0.167964395,0
"107",1363,0.01317468,0
"111",1367,0.132249708,0
"112",1368,0.014533775,0
"113",1369,0.079140544,0
"114",1370,0.226647253,0
"120",1376,0.168059083,0
"124",1380,0.127615658,0
"125",1381,0.122565857,0
"128",1384,0.074207351,0
"132",1388,0.019912722,0
"134",1390,0.059980729,0
"135",1391,0.254753633,0
"138",1394,0.009956237,0
"140",1396,0.064490752,0
"141",1397,0.171694889,0
"142",1398,0.043123262,0
"145",1401,0.249824907,0
"150",1406,0.01005636,0
"152",1408,0.080696638,0
"153",1409,0.121425328,0
"154",1410,0.083383856,0
"157",1413,0.048573407,0
"159",1415,0.064987701,0
"160",1416,0.07812499,0
"161",1417,0.040344656,0
"164",1420,0.073619738,0
"166",1422,0.042819611,0
"167",1423,0.113420258,0
"169",1425,0.058476655,0
"172",1428,0.031368649,0
"173",1429,0.282806111,0
"174",1430,0.086615562,0
"177",1433,0.098095146,0
"182",1438,0.376240145,0
"183",1439,0.203187226,0
"187",1443,0.14114262,0
"188",1444,0.051577584,0
"190",1446,0.091822555,0
"191",1447,0.052658443,0
"192",1448,0.019912722,0.249978321
"193",1449,0.039285721,0
"195",1451,0.068809347,0
"198",1454,0.082623968,0
"200",1456,0.074399219,0
"202",1458,0.064490752,0
"204",1460,0.020961034,0
"205",1461,0.20630957,0
"209",1465,0.255859888,0
"210",1466,0.009444497,0
"213",1469,0.009392847,0
"215",1471,0.009761852,0
"216",1472,0.009903248,0
"222",1478,0.098950543,0
"223",1479,0.089767841,0
"224",1480,0.061842929,0
"225",1481,0.116717782,0
"226",1482,0.260768582,0
"227",1483,0.117233297,0
"231",1487,0.197684282,0
"232",1488,0.068144375,0
"235",1491,0.056586388,0
"237",1493,0.136052741,0
"240",1496,0.056207314,0
"241",1497,0.074399219,0
"243",1499,0.031368649,0
"245",1501,0.13820718,0
"246",1502,0.140263152,0
"250",1506,0.029238448,0
"252",1508,0.020317036,0
"254",1510,0.119588303,0
"256",1512,0.041311984,0
"257",1513,0.188026143,0
"260",1516,0.028143499,0
"261",1517,0.009050724,0
"262",1518,0.045066684,0
"263",1519,0.111994978,0
"264",1520,0.062123509,0
"265",1521,0.218894017,0
"270",1526,0.031061755,0
"271",1527,0.105167023,0
"272",1528,0.217743363,0
"274",1530,0.062929531,0
"276",1532,0.16225169,0
"280",1536,0.251946687,0
"283",1539,0.065106454,0
